"","year","tc","examiner_art_unit","n"
"1",2003,100,116,1
"2",2003,1000,1000,1
"3",2003,1100,1111,4
"4",2003,1100,1191,1
"5",2003,1200,1203,2
"6",2003,1300,1303,1
"7",2003,1300,1315,1
"8",2003,1300,1339,2
"9",2003,1400,1401,1
"10",2003,1500,1517,2
"11",2003,1500,1519,1
"12",2003,1500,1532,1
"13",2003,1500,1535,1
"14",2003,1500,1538,1
"15",2003,1500,1544,1
"16",2003,1500,1545,2
"17",2003,1500,1547,1
"18",2003,1500,1551,2
"19",2003,1600,1614,20
"20",2003,1600,1615,22
"21",2003,1600,1616,22
"22",2003,1600,1617,11
"23",2003,1600,1621,15
"24",2003,1600,1623,12
"25",2003,1600,1624,21
"26",2003,1600,1625,29
"27",2003,1600,1626,93
"28",2003,1600,1631,43
"29",2003,1600,1632,51
"30",2003,1600,1634,107
"31",2003,1600,1635,23
"32",2003,1600,1636,49
"33",2003,1600,1637,36
"34",2003,1600,1638,42
"35",2003,1600,1639,5
"36",2003,1600,1641,1
"37",2003,1600,1642,9
"38",2003,1600,1644,19
"39",2003,1600,1645,13
"40",2003,1600,1646,39
"41",2003,1600,1647,32
"42",2003,1600,1648,18
"43",2003,1600,1651,43
"44",2003,1600,1652,49
"45",2003,1600,1653,50
"46",2003,1600,1654,33
"47",2003,1600,1661,33
"48",2003,1700,1711,88
"49",2003,1700,1712,60
"50",2003,1700,1713,7
"51",2003,1700,1714,59
"52",2003,1700,1722,32
"53",2003,1700,1723,61
"54",2003,1700,1724,67
"55",2003,1700,1725,55
"56",2003,1700,1731,86
"57",2003,1700,1732,20
"58",2003,1700,1733,16
"59",2003,1700,1734,23
"60",2003,1700,1742,25
"61",2003,1700,1743,21
"62",2003,1700,1744,23
"63",2003,1700,1745,11
"64",2003,1700,1746,15
"65",2003,1700,1751,27
"66",2003,1700,1752,27
"67",2003,1700,1753,15
"68",2003,1700,1754,20
"69",2003,1700,1755,17
"70",2003,1700,1756,42
"71",2003,1700,1761,57
"72",2003,1700,1762,65
"73",2003,1700,1763,53
"74",2003,1700,1764,45
